ID,Status,Requested,ER - Priority,Subject,Request Status,Organization,Updated,Submitted Priority,RequestOverview,ER,Sentiment,Status,Commited version,Strategic,Impact,Technical,Resource,Market,Total
1198388,Open,1/18/2023 20:23,,Reporting Improvements Extract,(2) Product Management Review,Fiserv/First Data Corporation,6/23/2025 6:23,Normal,Nicholis Priester requested the addition of new fields from Solution Comments to the SolNotes table. Ab Aly from RightAnswers Support acknowledged the request and forwarded it to the product team for review. Nicholis later inquired about the status of the enhancement.,"The request is to add the following fields from Solution Comments to the SolNotes table: Primary Comment, Resolved, Resolved By, Resolved By Interface, Resolved Date, Resolved Month, Resolved Month Year, Resolved Year, Seconds To Resolve, Visibility, and Resolution Category.","The overall sentiment is neutral, with a slight sense of urgency from the customer due to the follow-up inquiry.",,,,,,,,0
1201689,On-hold,1/23/2023 18:41,,Looking for similar functionality to the Import Microsoft Wod Document to HTML feature in Solution Manager,(2) Product Management Review,"Paychex, Inc.",12/26/2023 15:30,Low,"John Quinmore requested the ability to handle additional file formats, specifically Outlook .msg or .oft files, similar to existing functionalities. Ab Aly from support acknowledged the request, gathered additional information, and forwarded it to the product team for consideration. Felipe Fernandes later discussed the potential use of a Large Language Model to streamline document importation and data organization, acknowledging the complexity and resource intensity of supporting various file formats.","The request is to enhance the system to support importing and processing Outlook .msg and .oft files, similar to existing functionalities for other file formats.",Neutral,,,1,,,,,1
1201703,Open,1/23/2023 18:49,,"Auto remove flag, or pop up offering to remove flag when the check mark is selected to resolve comment",(2) Product Management Review,"Paychex, Inc.",5/16/2024 12:41,Low,"John Quinmore requested a feature enhancement where resolving a comment thread would automatically remove the red flag indicator from an article, or alternatively, provide a pop-up option to remove the flag. Ahmed Badawi from support responded, asking for more details to better understand the request. The request was then forwarded to the product team for consideration. John later added an internal tracking number for reference.","The request is for a feature that allows the resolution of a comment thread to automatically remove the red flag indicator from an article, or alternatively, provide a pop-up option to confirm the removal of the flag.",Neutral,,,3,,,,,3
1201720,Open,1/23/2023 19:00,,Ability to edit a comment in Solution Manager - at least allow a short timeframe for when comments can be edited,(2) Product Management Review,"Paychex, Inc.",5/16/2024 12:40,Low,John Quinmore requested the addition of a feature to edit comments in Solution Manager with a suggested grace period for editing. Ahmed Badawi from support responded by asking for more details to assess the request and later confirmed that the request was forwarded to the product team for consideration.,"The request is to add a feature in Solution Manager that allows users to edit comments within a customizable grace period, similar to online forums, with an indication that the comment has been edited.",Neutral with a sense of anticipation for the product team's decision.,,Allstate and other customers,3,4,,,,7
1203583,Open,1/25/2023 18:54,,Multilanguage synonym support,(2) Product Management Review,Sage Software,9/20/2024 14:46,Low,"The customer inquired about the possibility of adding language-specific synonyms in the Solution Manager, specifically for French, without affecting English synonyms. The support team explained the current functionality of the synonyms feature and clarified that there is no separation by language for synonyms. The customer requested this as an enhancement, which was then forwarded to the product team for consideration.","The customer requests an enhancement to the Solution Manager to support language-specific synonyms, allowing different sets of synonyms for different languages, such as French and English, without overlap.",Neutral,,,,,,,,0
1203645,Open,1/25/2023 19:46,,Reset admin portal timeout,(2) Product Management Review,"Paychex, Inc.",12/26/2023 16:18,Low,"John Quinmore inquired about extending or disabling the admin portal timeout. Ab Aly explained the 'AllowedIdleMinutes' setting, which can be increased up to 30 minutes for security reasons. John expressed a need for a 60-minute timeout due to the admin portal timing out while using the reports portal. Anupama Vallamsetla clarified that setting the timeout above 30 minutes would disable warning messages. John requested an enhancement to ensure activity in the reports portal resets the admin portal's activity timer. Ab Aly confirmed the enhancement request was submitted to the product team.",The enhancement request is to ensure that activity in the reports portal resets the activity timer in the admin portal to prevent unexpected timeouts while actively working in the reports section.,Neutral with a sense of urgency due to the inconvenience caused by the timeout issue.,,,1,,,,,1
1209065,On-hold,2/1/2023 22:09,,Published non searchable solutions not included in refresh reminders flag system,(4a) Under Consideration (Not Planned),John Lewis Plc,9/30/2024 13:51,Low,"The customer, Lucy from JLP Knowledge Admin, reported an issue where 'Published not searchable' solutions were not included in the refresh reminders flag system. The support team, led by Salma Essam, investigated the issue and made changes to include these solutions in the filter. However, the dashboard count was incorrect, leading to further investigation. The issue required core changes, which took several months to address. Eventually, the request was converted into an enhancement ticket to be included in a future product release.","The request is to include 'Published not searchable' solutions in the refresh reminders flag system and ensure the dashboard count accurately reflects these solutions. This requires changes to the core product, which will be addressed in the 2024R2 release.","Overall sentiment is negative due to the extended timeline and incomplete resolution, with a sense of urgency expressed by the customer.",,,,,,,,0
1216484,On-hold,2/10/2023 22:45,,Increase the size of the Title field in SM when monitor is oriented vertically,(4a) Under Consideration (Not Planned),PAR Technology,9/18/2024 8:21,Low,"A customer reported an issue where the title size in the SM application is too small when using vertically oriented monitors. The customer requested an enhancement to increase the title size for better readability. The support team acknowledged the request, gathered additional information, and forwarded it to the product team for consideration. The product team later confirmed that the request was added to their list of ideas for potential future implementation.",The customer requests an enhancement to increase the size of the title field in the SM application when the monitor is oriented vertically to improve readability.,Positive,,,,,,,,0
1217713,Open,2/13/2023 19:14,,Ability to separate Knowledge Quality checks based on Workgroup,(2) Product Management Review,"Paychex, Inc.",5/16/2024 12:40,Low,"John Quinmore from Paychex requested the ability to separate Knowledge Quality checks based on workgroups in Solution Manager, as currently, they can only be separated by collections. He initially thought this feature was available but realized it was not, prompting an enhancement request. Ab Aly from RightAnswers Support acknowledged the request, asked for additional information, and forwarded it to the product team for review.","The request is to enhance the Solution Manager by allowing Knowledge Quality checks to be separated based on workgroups, rather than just collections. This would help organizations using the same collections to have relevant quality review questions tailored to specific workgroups.","Neutral to slightly negative, with a moderate level of urgency for operational efficiency improvements.",,Celonis,4,4,,,,8
1283188,Closed,5/9/2023 19:47,Medium,20. New Archive Process is Keeping Article Active,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],5/20/2025 11:17,Normal,"The customer, USAA, is experiencing issues with the Scheduled Publish Workflow. They want to archive solutions directly without having to publish them first. A new archive process was created to archive revisions, but it keeps the parent solution active. The enhancement request (ER) was created to address this issue, and the customer prefers archiving as needed rather than scheduling.","The enhancement request is to modify the archiving process so that it can archive the original solution directly when conditions are met, rather than just archiving revisions and keeping the parent solution active.",The overall sentiment is negative due to the dissatisfaction with the current workaround and the urgency for a solution that meets their needs.,Rejected,,,,,,,0
1218312,Open,2/14/2023 14:57,,Web configuration help,(2) Product Management Review,OPIE Software,9/16/2024 17:47,Normal,"Steve Kaercher from OPIE Software contacted RightAnswers Support regarding an issue with the default sorting order of solutions in the OPIEHelpSS Layout Group. The current default sort is 'Newest on Top', which causes problems when older release notes are edited, as they appear out of order. Steve requested to change the default sort to 'Title Z-A'. Ab Aly from RightAnswers Support confirmed that this feature is not currently available and suggested submitting an enhancement request. Steve agreed to submit the request, and it was forwarded to the product team for consideration.",The enhancement request is to add functionality that allows setting the default sort order of solutions in the OPIEHelpSS Layout Group to 'Title Z-A'. This feature would help maintain the correct order of release notes even when older notes are edited.,Positive,,,,,,,,0
1221370,Open,2/17/2023 14:36,,"Ability to create custom ""reference groups"" in RightAnswers Upland Analytics that can be used for reporting",(2) Product Management Review,"Paychex, Inc.",5/16/2024 12:39,Low,"John Quinmore requested a feature to save and apply groups of users or filters to new reports in Solution Manager. Ab Aly from RightAnswers Support acknowledged the request, asked for additional information, and forwarded it to the product team for review. John later added an internal reference number for tracking.","The request is for a feature that allows users to save groups of users or filters and apply them to new reports in Solution Manager, eliminating the need to manually build the user filter each time.",Neutral,,,,,,,,0
1231647,On-hold,3/3/2023 15:20,Low,RightAnswers ability to export as XLS or CSV in Solution Manager export option,(4a) Under Consideration (Not Planned),"Paychex, Inc.",12/19/2023 17:36,Low,"John Quinmore requested an enhancement to allow exporting files directly as .csv or .xls from the RightAnswers Solution Manager, instead of the current process of exporting as .tsv and then converting in Excel. Youssef Omar from support acknowledged the request and gathered additional information. The request was forwarded to the product team, and Felipe Fernandes confirmed it was added to the list of potential enhancements, with plans to possibly include it in the 2024 release cycle.","The request is to add functionality to the RightAnswers Solution Manager to export files directly in .csv or .xls formats, eliminating the need for an additional conversion step currently required when exporting as .tsv.","The overall sentiment is positive, with the customer showing patience and understanding, though there is a clear desire for improved efficiency.",,,5,,,,,5
1231914,Open,3/3/2023 19:59,,RightAnswers ability to drag/drop more easily change Taxonomy structures,(2) Product Management Review,"Paychex, Inc.",5/16/2024 12:39,Low,"John Quinmore inquired about the possibility of implementing a drag-and-drop feature for managing taxonomy structures in RightAnswers, similar to what is available in Confluence. Ab Aly from support responded by asking John to provide additional details through a questionnaire to better understand the request. The request was then forwarded to the product management team for review. John later added an internal reference number for tracking.",The request is to implement a drag-and-drop functionality for taxonomy structures in RightAnswers to facilitate easier maintenance and reorganization of categories.,Neutral,,In progress,4,4,,,,8
1231920,Open,3/3/2023 20:07,Low,RightAnswers more controls over what portlets appears and where in Solution Manager and the portals,(2) Product Management Review,"Paychex, Inc.",5/16/2024 12:39,Low,"John Quinmore from Paychex requested a feature enhancement for the portal and Solution Manager dashboards to allow drag-and-drop functionality for portlets, enabling users to customize which portlets appear and their layout. Ahmed Badawi from RightAnswers Support acknowledged the request, asked for additional information, and forwarded the request to the product team for consideration.","The request is for a drag-and-drop interface to customize the appearance and layout of portlets in the portal and Solution Manager dashboards, allowing users to hide or display specific portlets based on group preferences.",Neutral,,In progress (but maybe the V1 not so personalized),4,4,,,,8
1231930,Open,3/3/2023 20:13,Low,RightAnswers add the expand/collapse feature added to the Content Blocks,(2) Product Management Review,"Paychex, Inc.",5/16/2024 12:38,Low,"John Quinmore requested the addition of an expand/collapse feature for content blocks in the Solution Manager, similar to existing functionality in regular fields. Ahmed Badawi from RightAnswers Support acknowledged the request, asked for additional information, and forwarded the request to the product team for consideration.","The request is to add an expand/collapse feature to content blocks in the Solution Manager to enhance usability, similar to the existing feature in regular fields.",Neutral,,,,,,,,0
1235956,On-hold,3/9/2023 15:36,,Self service views appearing on draft articles,(4a) Under Consideration (Not Planned),Sage Software,9/20/2024 14:48,Low,"The customer, Steve Springer from Sage, reported an issue where self-service views were appearing for articles in draft state, which should not be accessible publicly. The issue was investigated by the support team, and it was found that the draft articles were accessible due to their inclusion in a decision tree. The customer was informed that this behavior was by design and was offered the option to submit an enhancement request to change this functionality. The enhancement request was submitted and is under review by the product team.","The customer requests an enhancement to prevent draft articles from being accessible through self-service, even if they are part of a decision tree, to ensure that unpublished content is not visible to the public.",The customer is concerned about the current functionality and has expressed urgency in addressing the issue to prevent public access to draft content.,,,,,,,,0
1236251,Pending,3/9/2023 19:58,Medium,New Feature in the 2023R1.0 - Trigger translations in Workflow,(3) Needs Customer Feedback,"Pfizer, Inc.",2/25/2025 14:02,Normal,"Ronald Decker inquired about the translation engine used by RightAnswers. Salma Essam informed him about the current and future translation engines, mentioning Lucene and Solr, and noted that Google Translation is an option but requires payment. Ronald expressed dissatisfaction with Google Translation and requested an enhancement to use a different engine, specifically ChatGBT Translator. Salma submitted this request to the product team for review.","Ronald Decker requested an enhancement to allow the use of ChatGBT Translator as an alternative translation engine within RightAnswers, due to dissatisfaction with the Google Translation engine.","Neutral to slightly negative, with a sense of urgency due to dissatisfaction with current translation quality.",,,,,,,,0
1244710,Open,3/20/2023 14:32,,Cannot change the Knowledge Quality section if a solution has a Future Unpublish date,(4a) Under Consideration (Not Planned),"Paychex, Inc.",5/6/2023 13:41,Low,"John Quinmore from Paychex contacted RightAnswers Support to inquire about editing solutions set to 'Future Unpublish'. Youssef Omar from support explained that the current system hides edit buttons for such solutions by default. After discussions, it was agreed to submit an enhancement request for future releases. Felipe Fernandes from Product Management suggested a workaround to cancel the workflow to make edits, which John acknowledged as acceptable.","The request is to make solutions set to 'Future Unpublish' editable, at least in the Knowledge Quality section, for auditing purposes. This has been submitted as an enhancement request for future product releases.",Overall sentiment is neutral to positive. The urgency is low as John mentioned it is not super critical and can wait for future releases.,,,,,,,,0
1244764,Open,3/20/2023 15:07,Low,Ability to prevent download of documents from Document type solutions,(2) Product Management Review,"Paychex, Inc.",12/19/2023 18:20,Low,"John Quinmore from Paychex requested a feature to prevent the download of documents attached to solutions in the RightAnswers portal to maintain version control and a single source of truth. Youssef Omar from RightAnswers Support acknowledged the request and asked for additional information. John later expanded the request to include preventing email, print, or any other method of acquiring a hard copy, with control at the portal level. John also mentioned the possibility of using professional service dollars for customization. Felipe Fernandes followed up to check if the request is being considered for development.","The request is to prevent users from downloading, emailing, printing, or otherwise acquiring a hard copy of document solutions in the RightAnswers portal, with the ability to control this feature at the portal level.","The overall sentiment is neutral, with a sense of urgency as John is seeking updates and considering customization options.",,,2,1,,,,3
1246512,On-hold,3/22/2023 9:38,,Multiple search languages simultaneously in ss portal,(4a) Under Consideration (Not Planned),Lely Consulting,1/4/2024 12:13,Normal,"Stefan Dries from Lely Industries requested the ability to search in multiple languages simultaneously within their portal, which currently supports only one language at a time. The request was acknowledged by Sakshi Jindal from RightAnswers Support, who asked for more details and examples. The request was then forwarded to the product team for consideration as a potential enhancement. Later, the request was reassigned to Junny Rademacker as Stefan moved to a new position. Felipe Fernandes from Upland Product Management updated Junny that the request was added to their list of ideas for future consideration.","The enhancement request is to enable the search functionality in the portal to support multiple selected languages simultaneously, allowing users to search across both English and English US content at the same time.",Positive,,,,,,,,0
1250841,On-hold,3/27/2023 22:13,,Make keywords field non-mandatory in Solution Manager,(4a) Under Consideration (Not Planned),Sage Software,9/20/2024 14:48,High,"A customer raised a concern about the mandatory keyword field in the Solution Manager, which affects search result accuracy. The customer suggested making the field non-mandatory to improve search tuning and article optimization. The request was acknowledged by the support team and escalated as an enhancement request to the product management team for review.",The customer requests to make the keyword field non-mandatory in the Solution Manager. This change aims to improve the accuracy of search results and optimize preferred best articles by allowing more flexibility in keyword usage.,Positive,,,,,,,,0
1257128,On-hold,4/4/2023 20:39,Medium,Ability to copy workflows,(4a) Under Consideration (Not Planned),"The CBORD Group, Inc.",11/24/2023 10:41,Normal,"Jennifer submitted a request to Upland Software support, asking for the ability to copy workflows due to the frequent need to create similar workflows with minor changes. The request was acknowledged by Ab Aly, an Application Support Engineer, and forwarded to the product management team for consideration. Felipe Fernandes later updated Jennifer, stating that the request was added to the list of ideas and will be prioritized based on its potential value to users.",Jennifer requested an enhancement to the software that allows users to copy existing workflows to streamline the process of creating similar workflows with minor modifications.,Positive,,,,,,,,0
1262351,On-hold,4/12/2023 14:35,,Column added to allow ordering of flagged solution lisitings,(4a) Under Consideration (Not Planned),John Lewis Plc,12/27/2023 18:39,Low,"Emily from JLP Knowledge Admin requested a new column 'date flagged' to be added to the listings, allowing customization to reorder by date. Salma from RightAnswers Support acknowledged the request, asked for additional details, and forwarded it to the product team. Emily confirmed willingness to wait for a future release. Felipe from Upland Product Management later updated that the request was added to the list of ideas for future consideration.","The request is to add a 'date flagged' column to the listings, enabling users to reorder the flagged solutions by date, either latest at the top or bottom.",Positive,,,,,,,,0
1262364,Open,4/12/2023 14:45,,Column to indicate comment visibility selection,(2) Product Management Review,John Lewis Plc,5/16/2024 11:29,Low,"Emily from JLP requested a feature enhancement to add a filter or column in the listings for flagged solutions to indicate comment visibility and to signpost comments left by end-users. Ab Aly from RightAnswers Support acknowledged the request, confirmed receipt, and forwarded it to the product management team for review.","The request is to add a feature that allows filtering or displaying a column in listings for flagged solutions to show comment visibility options (All, Agents & Authors, Authors only) and to highlight comments made by end-users.",Neutral with a sense of urgency for resolution,,,,,,,,0
1266533,On-hold,4/18/2023 16:33,,In Feedback Management tab - include Collection data and filter by collection function,(4a) Under Consideration (Not Planned),Sage Software,9/20/2024 14:48,Low,"The customer requested a feature enhancement to view and sort comments by Collection in the Feedback Management tab. The support team acknowledged the request and forwarded it to the product management team for consideration. The product team later responded, indicating that the request was added to their list of ideas for potential future implementation.",The customer requested an enhancement to include Collection data and a filter by collection function in the Feedback Management tab.,Positive,,,,,,,,0
1267049,Open,4/19/2023 9:23,,How many tickets are attached to a specific article from RightAnswers portals ( Not using the reporting ),(2) Product Management Review,Vision Willow,1/21/2025 15:20,Normal,"Mayank Sharma from Novozymes reached out to RightAnswers Support to request a feature that allows users to see how many tickets are linked to a specific Knowledge Base Article (KBA) directly from the RA portal, without relying on reporting tools. The conversation involved clarifying the request, confirming current capabilities, and discussing the need for an enhancement. The request was categorized as an enhancement and logged in JIRA. Mayank followed up multiple times for updates and an effort estimate, indicating urgency.","Novozymes requires a feature in the RightAnswers portal that allows users to view all tickets attached to a specific KBA directly within the portal interface, without using external reporting tools.","The overall sentiment is negative due to the lack of immediate resolution and the repeated follow-ups for updates and effort estimates, indicating urgency.",,,,,,,,0
1267951,Open,4/20/2023 8:13,,"Add a data classification field In Solution Manager which can be used for reporting, front-end restrictions, and crucially platform AI",(2) Product Management Review,John Lewis Plc,5/16/2024 11:29,Normal,"The customer requested an enhancement to add a data classification drop-down in the solution manager, link it to a guidance solution, add a control setting in the Admin Console, and make it visible in Upland Analytics and the API. The support team acknowledged the request, gathered necessary information, and forwarded it to the product management team for review.","The enhancement request is to add a data classification drop-down in the solution manager for authors, link it to a guidance solution, provide a control setting in the Admin Console to define data classifications, and ensure visibility in Upland Analytics and the API.",Neutral,,,,,,,,0
1267954,On-hold,4/20/2023 8:18,,Control the Use of Solution Manager AI features based on Data Classification,(4a) Under Consideration (Not Planned),John Lewis Plc,12/27/2023 18:50,Normal,"JLP Knowledge Admin submitted a request to determine AI usage based on data classification in Knowledge creation. The request was acknowledged by Sakshi Jindal from RightAnswers Support, who confirmed it was forwarded to the product team for review. Felipe Fernandes later updated that the enhancement request was accepted for further exploration and added to the list of potential features.",The request is to implement a feature that allows AI usage in Knowledge creation to be controlled based on data classification. This would involve an admin setting in the Admin Console and displaying errors if AI features are used without appropriate data classification.,"Overall positive, as the request is being considered for future development and the customer was kept informed about the process.",,,,,,,,0
1267956,On-hold,4/20/2023 8:20,,Ability to report on using AI to create/modify content in order to provide an audit trial.,(4a) Under Consideration (Not Planned),John Lewis Plc,12/27/2023 18:51,Normal,"The customer, JLP Knowledge Admin, requested the ability to make AI features in Solution Manager reportable in Upland Analytics to provide an audit trail. The request was acknowledged by Sakshi Jindal from RightAnswers Support, who confirmed that the necessary information was gathered and the request was forwarded to the product team for consideration. Felipe Fernandes later updated the customer, stating that the enhancement request was added to the list of ideas for potential future development.","The request is to enable reporting on the use of AI features in Solution Manager within Upland Analytics, providing an audit trail of AI usage.",Positive,,,,,,,,0
1270477,Open,4/24/2023 14:29,,javascript being overwritten,(2) Product Management Review,Change Healthcare,6/23/2025 6:24,Normal,"Neven Szary reported an issue where JavaScript code entered in the <source code> box is being overwritten or deleted upon saving. Ab Aly from RightAnswers Support explained that JavaScript is removed due to security restrictions and is not allowed by design. Neven inquired about permitted coding languages and was informed that HTML and CSS are allowed. Neven requested to file an enhancement request for JavaScript support and to close the current ticket. Ab Aly acknowledged the request and asked Neven to provide additional information for the enhancement request, which was then forwarded to the product team for review.","Neven Szary requested an enhancement to allow JavaScript code in the <source code> box, which is currently restricted due to security concerns.",Neutral,,,,,,,,0
1272229,On-hold,4/26/2023 14:37,,Incorrect timezone,(4a) Under Consideration (Not Planned),Nestle Finance Service Centre,12/19/2023 18:15,Low,"Harry Isley from Nestle reported an issue with the service portal displaying the incorrect timezone (GMT instead of BST). Salma Essam from RightAnswers Support acknowledged the request and explained that the portal is on a shared instance, making it difficult to change the timezone without affecting other clients. Steven Green from Upland Software discussed the issue with the product team and suggested a potential enhancement to allow timezone adjustments in the admin portal. The request was raised as an enhancement and added to the product team's list of ideas for future consideration.","The request is to change the service portal's timezone from GMT to BST for Nestle, which is on a shared instance. The enhancement request suggests adding a feature to the admin portal that allows customers to set their preferred timezone, potentially with an offset setting.","Neutral to slightly negative, with a sense of urgency due to the impact on the UK&I market.",,,,,,,,0
1276016,Open,5/2/2023 10:03,,Article Comment on RightAnswers: Managing On Save Workflow Solution ID: 210201072715480,(4a) Under Consideration (Not Planned),"The Goldman Sachs Group, Inc.",1/16/2025 9:23,Normal,"Tara Lynne Collier from Goldman Sachs raised a concern about the lack of clarity in Upland's documentation regarding the 'Add' and 'Set' functions for Refresh Dates in On Save Workflows. Sakshi Jindal from Upland acknowledged the feedback and escalated the issue to the documentation team. Felipe Fernandes provided an explanation of the functions, which Tara confirmed and suggested improvements for clarity. The issue was acknowledged by Upland, and the documentation is being updated.","The request is to update the documentation to clearly explain the difference between the 'Add' and 'Set' functions for Refresh Dates in On Save Workflows, using explicit field names for clarity.",Frustrated but hopeful for improvement,,,,,,,,0
1277763,Open,5/3/2023 17:53,,Automation of KB article creation,(5) In Development (Planned),Change Healthcare,6/3/2025 11:51,High,"The customer, Jasmine Yu, requested an enhancement to automate aspects of knowledge base article creation using Salesforce case details. The request was reviewed and sent to the product team. Felipe Fernandes from Product Management informed Jasmine about an upcoming feature, Salesforce federated search, which will be released in March 2024. A meeting was scheduled to discuss the feature further. During the meeting, it was acknowledged that the current feature might not fully meet Jasmine's needs, but an alternative, RightAnswers Extension (RAX), was suggested. The ticket was placed on hold for future updates.",The request is to automate the creation of knowledge base articles using Salesforce case details to reduce workload for frontline support teams.,Positive,,,,,,,,0
1355014,Closed,8/25/2023 16:17,High,05. Ability to Assign Tasks (Refresh and Comments) 1 of 4 Workload Management Requests,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],5/22/2025 9:41,Normal,"Angie Bernacet requested the ability for refresh and comments, including threads, to display as individual tasks that can be assigned to SM users within the same workgroup. Additionally, she requested the ability to view all assigned tasks within the 'my and organization' dropdowns on the SM home page. The request was acknowledged by Georgios Stergis, who forwarded it to the product team for review. Felipe Fernandes later updated Angie, indicating that the request was added to the list of ideas for potential future development.","The request is for the ability to display refresh and comments as individual tasks assignable to SM users within the same workgroup, and to view all assigned tasks in the 'my and organization' dropdowns on the SM home page.",Positive,Rejected,,,,,,,0
1359719,Closed,9/1/2023 15:03,Low,28. Requesting a Workgroup Assignment Manager Role/Permission - Part 2 of 4,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],5/20/2025 11:18,Low,"Angie Bernacet requested an elevated permission role for a workgroup to assign work queue tasks. The request was submitted for review by Georgios Stergis, who informed Angie that the product team would evaluate its inclusion in the product roadmap. Felipe Fernandes later updated Angie, stating that the request was added to a list of ideas for potential future development.",The request is for a new role or elevated permission within a workgroup that allows a designated person to manage work queue assignments.,Neutral,Rejected,,,,,,,0
1359727,Closed,9/1/2023 15:15,Medium,12. Requesting Assigned Tasks be added to the Solution Manager Home Page Part 3 of 4,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],5/20/2025 11:18,Low,"Angie Bernacet requested the addition of 'Assigned Tasks' to the Solution Manager Queue home page, similar to existing features like Refresh Reminders and Drafts. The request was acknowledged by Georgios Stergis, who forwarded it to the product team for review. Felipe Fernandes later updated Angie, stating that the request was added to the list of ideas for potential future development.","The request is to add 'Assigned Tasks' to the Solution Manager Queue home page, with a dropdown option to toggle between 'My' and 'Organization' views, similar to other existing features.",Positive,Rejected,,,,,,,0
1359749,Closed,9/1/2023 15:29,Low,27. Notifications for New Comments and Refresh Tasks - Part 4 of 4,(4a) Under Consideration (Not Planned),United Services Automobile Association [USAA],5/20/2025 11:18,Low,"Angie Bernacet requested that notifications for new comments and refresh assignable tasks be sent to the workgroup assignment manager, author, or workload manager as part of ER #1359719. Georgios Stergis acknowledged the request and forwarded it to the product team for review. Felipe Fernandes later updated Angie, stating that the request was added to the list of ideas for potential future development.","The request is to enable notifications for new comments and refresh assignable tasks to be sent to the workgroup assignment manager, author, or workload manager.",Neutral,Rejected,,,,,,,0
1284160,Open,5/10/2023 20:17,,Custom Queue,(2) Product Management Review,Change Healthcare,5/16/2023 14:57,Normal,"Neven Szary from Optum Enterprise Imaging inquired about the possibility of creating custom queues in Solution Manager to filter on Collection, which would allow specific teams to see only relevant KB articles. Ahmed Badawi from RightAnswers Support suggested using the Advanced filter as a workaround. Neven acknowledged this but expressed interest in modifying the 'My Queue' section. Ahmed confirmed that the request would be raised as an enhancement request to the product team. Felipe Fernandes from Product Management assured Neven that the request would be analyzed internally.","The request is to create custom queues in Solution Manager that can filter KB articles based on Collection, allowing specific teams to view only the articles relevant to them.","Positive and hopeful, with a moderate level of urgency for a more integrated solution.",,,,,,,,0
1290656,Open,5/19/2023 17:12,,Enhancement Request -,(2) Product Management Review,Sysdig,5/16/2024 12:49,Normal,"Jose Escobar requested the addition of a 'copy' icon feature for code snippets in the knowledge base to facilitate easier copying and pasting of code. Youssef Omar from support asked for additional details, which Jose provided, explaining the business impact and current workaround. The request was then forwarded to the product team for review.",Jose Escobar requests the implementation of a 'copy' icon in the top-right corner of code snippets in the knowledge base to allow users to easily copy and paste code into their terminals.,Positive,,,,,,,,0
1293257,Open,5/24/2023 10:21,Medium,Ability to reorder fields on templates with associated content able to move accordingly,(4b) Accepted / On Roadmap,John Lewis Plc,6/3/2025 9:49,Low,"The customer requested the ability to reorder fields on templates with content moving accordingly. Initially, they had to manually change field names and move content, which was inefficient at their scale. The request was acknowledged and added to the product ideas list. It was later confirmed for the 2024R1 roadmap but faced delays due to complexities, pushing the release to 2025.","The enhancement request is for a feature that allows reordering fields on templates with the associated content moving automatically, eliminating the need for manual adjustments.","Overall sentiment is neutral to positive, with the customer showing patience and understanding despite the delay.",,,,,,,,0
1303348,On-hold,6/7/2023 17:22,,Hover over summary in search results covers some of the icons,(2) Product Management Review,"Paychex, Inc.",12/26/2023 17:17,Low,John Quinmore reported an issue where longer summary text in the knowledge portal search results covers the email and preview icons when hovering over them. He requested a solution to either move or resize the icons. The issue was logged with internal tracking number ITES-3054. Ab Aly from RightAnswers Support acknowledged the request and asked for additional information to assess the enhancement request. The request was forwarded to the product team for review. Felipe Fernandes later noted that the visibility of action icons upon hovering might be intentional for UX reasons and suggested an internal discussion.,The enhancement request is to adjust the UI of the knowledge portal search results so that longer summary text does not cover the email and preview icons when hovering over them. The request aims to improve the user experience by ensuring icons are always visible or appropriately adjusted.,Neutral,,,2,,,,,2
1304400,Open,6/8/2023 20:08,,Setting to be able to hide the Author Only setting in the Comments features,(2) Product Management Review,"Paychex, Inc.",5/16/2024 12:38,Low,"John Quinmore from Paychex requested the ability to hide the 'Author Only' option in their software, as it causes confusion and is not needed by their team. Ahmed Badawi from Upland Software acknowledged the request and forwarded it to the product team for consideration. John inquired about the absence of a ticket number for the enhancement request and provided an internal tracking number for Paychex.","The request is to add a feature that allows users to hide the 'Author Only' option in the software, as it is not useful for Paychex and causes confusion.",Neutral,,,,,,,,0
1304409,Open,6/8/2023 20:24,,Displayed knowledge maintenance tasks from the Solution Manager dashboard in the portal view for users,(2) Product Management Review,"Paychex, Inc.",5/16/2024 12:37,Low,"John Quinmore from Paychex requested that indicators such as the number of flagged solutions and past refresh solutions be visible in the users' knowledge portal view. Youssef Omar from RightAnswers Support acknowledged the request, asked for additional information, and forwarded the request to the product team for review.","The request is to enhance the users' knowledge portal view by adding indicators for the number of flagged solutions and past refresh solutions, as users primarily spend their time there instead of the SM dashboard.",Neutral,,,,,,,,0
1304780,Open,6/9/2023 13:17,,Enhancement Request - Source Code editor - fit within features permissions,(2) Product Management Review,John Lewis Plc,5/16/2024 11:28,Low,"Lucy from JLP Knowledge Admin requested a feature to control access to HTML source code in Solution Manager, as it is currently open to all users. Youssef Omar from RightAnswers Support acknowledged the request, asked for additional details, and forwarded the request to the product team for consideration.","The request is to develop a permission feature that restricts access to HTML source code within Solution Manager, allowing only skilled users to edit it.","The customer sentiment appears to be neutral, with a moderate level of urgency expressed in the request.",,,,,,,,0
